INFO  - 2013-07-04 21:09:57.928; org.eclipse.jetty.server.Server; jetty-8.1.8.v20121106
INFO  - 2013-07-04 21:09:57.964; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /usr/local/solr/example/contexts at interval 0
INFO  - 2013-07-04 21:09:57.974; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /usr/local/solr/example/contexts/solr-jetty-context.xml
INFO  - 2013-07-04 21:09:58.139; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/usr/local/solr/example/webapps/solr.war!/ to /usr/local/solr/example/solr-webapp/webapp
INFO  - 2013-07-04 21:09:59.584; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2013-07-04 21:09:59.634; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/usr/local/solr/example/solr-webapp/webapp/},/usr/local/solr/example/webapps/solr.war
INFO  - 2013-07-04 21:09:59.635; org.eclipse.jetty.server.handler.ContextHandler; started o.e.j.w.WebAppContext{/solr,file:/usr/local/solr/example/solr-webapp/webapp/},/usr/local/solr/example/webapps/solr.war
INFO  - 2013-07-04 21:09:59.654; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2013-07-04 21:09:59.684; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2013-07-04 21:09:59.685; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2013-07-04 21:09:59.699; org.apache.solr.core.CoreContainer$Initializer; looking for solr config file: /usr/local/solr/example/solr/solr.xml
INFO  - 2013-07-04 21:09:59.702; org.apache.solr.core.CoreContainer; New CoreContainer 405168301
INFO  - 2013-07-04 21:09:59.703; org.apache.solr.core.CoreContainer; Loading CoreContainer using Solr Home: 'solr/'
INFO  - 2013-07-04 21:09:59.704; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2013-07-04 21:10:00.234; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2013-07-04 21:10:00.235; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2013-07-04 21:10:00.238; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2013-07-04 21:10:00.238; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2013-07-04 21:10:00.238; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2013-07-04 21:10:00.239; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2013-07-04 21:10:00.239; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2013-07-04 21:10:00.240; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2013-07-04 21:10:00.240; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2013-07-04 21:10:00.251; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2013-07-04 21:10:00.661; org.apache.solr.core.CoreContainer; Registering Log Listener
INFO  - 2013-07-04 21:10:00.699; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: solr/collection1
INFO  - 2013-07-04 21:10:00.700; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/collection1/'
INFO  - 2013-07-04 21:10:00.776; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2013-07-04 21:10:00.778; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.779; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-07-04 21:10:00.779; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-07-04 21:10:00.779; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/poi-ooxml-schemas-3.8.jar' to classloader
INFO  - 2013-07-04 21:10:00.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-07-04 21:10:00.780; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/xz-1.0.jar' to classloader
INFO  - 2013-07-04 21:10:00.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-07-04 21:10:00.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/fontbox-1.7.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.781; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/tika-core-1.3.jar' to classloader
INFO  - 2013-07-04 21:10:00.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/tika-parsers-1.3.jar' to classloader
INFO  - 2013-07-04 21:10:00.782; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-07-04 21:10:00.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/pdfbox-1.7.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/rome-0.9.jar' to classloader
INFO  - 2013-07-04 21:10:00.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.783; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/jempbox-1.7.1.jar' to classloader
INFO  - 2013-07-04 21:10:00.784; org.apache.solr.core.SolrResourceLoader; Adding 'file:/usr/local/solr/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
